LSOA21CD,PM25-2013-min,PM25-2013-max,PM25-2013-mean,PM25-2013-std,PM25-2013-median,PM25-2016-min,PM25-2016-max,PM25-2016-mean,PM25-2016-std,PM25-2016-median,PM25-2019-min,PM25-2019-max,PM25-2019-mean,PM25-2019-std,PM25-2019-median,PM10-2013-min,PM10-2013-max,PM10-2013-mean,PM10-2013-std,PM10-2013-median,PM10-2016-min,PM10-2016-max,PM10-2016-mean,PM10-2016-std,PM10-2016-median,PM10-2019-min,PM10-2019-max,PM10-2019-mean,PM10-2019-std,PM10-2019-median,NOx-2013-min,NOx-2013-max,NOx-2013-mean,NOx-2013-std,NOx-2013-median,NOx-2016-min,NOx-2016-max,NOx-2016-mean,NOx-2016-std,NOx-2016-median,NOx-2019-min,NOx-2019-max,NOx-2019-mean,NOx-2019-std,NOx-2019-median,NO2-2013-min,NO2-2013-max,NO2-2013-mean,NO2-2013-std,NO2-2013-median,NO2-2016-min,NO2-2016-max,NO2-2016-mean,NO2-2016-std,NO2-2016-median,NO2-2019-min,NO2-2019-max,NO2-2019-mean,NO2-2019-std,NO2-2019-median
E01002769,16.182,17.001,16.25,0.081,16.227,13.561,14.319,13.631,0.079,13.609,11.027,11.735,11.096,0.075,11.075,25.21,27.318,25.366,0.205,25.305,22.278,24.299,22.444,0.196,22.38,17.043,18.962,17.244,0.235,17.175,57.232,95.416,61.733,6.461,59.787,66.508,87.622,68.979,2.975,68.009,45.332,60.439,46.857,1.801,46.343,35.851,47.798,37.324,1.928,36.745,37.807,44.345,38.538,0.876,38.254,29.684,35.221,30.254,0.618,30.088
E01002770,16.023,21.785,16.686,0.907,16.3,13.391,26.033,13.978,1.042,13.632,10.89,15.045,11.374,0.639,11.12,25.229,40.235,26.966,2.433,25.92,22.219,57.091,23.86,2.917,22.872,16.846,28.757,18.405,2.142,17.544,59.721,315.691,90.256,43.949,71.565,67.792,552.778,90.523,41.567,76.504,45.112,152.417,57.28,16.619,50.674,36.729,109.954,46.629,13.124,40.953,37.949,125.242,43.692,8.824,40.448,29.415,59.36,33.114,4.789,31.197
E01002771,16.113,18.622,16.393,0.454,16.227,13.477,16.237,13.757,0.459,13.595,10.959,13.643,11.183,0.359,11.066,25.231,32.224,25.936,1.224,25.486,22.226,30.283,22.952,1.293,22.487,17.068,26.687,17.752,1.238,17.342,59.171,177.521,70.117,19.661,62.824,67.425,176.829,75.877,16.28,70.308,45.165,106.763,49.709,8.222,46.919,36.482,73.357,40.27,6.444,37.897,37.928,64.121,40.325,4.193,38.825,29.516,47.206,31.039,2.504,30.202
E01002772,16.121,20.49,16.605,0.791,16.316,13.498,17.922,13.956,0.788,13.684,10.988,14.675,11.348,0.607,11.146,25.266,36.92,26.508,2.09,25.74,22.351,34.861,23.588,2.178,22.832,16.998,28.113,18.159,1.91,17.506,60.079,265.108,82.138,37.28,68.025,68.625,253.658,85.804,29.76,75.051,46.399,170.22,55.524,16.532,49.735,36.817,97.168,44.187,11.372,39.784,38.264,78.465,42.85,7.164,40.197,29.858,58.2,32.693,4.718,31.022
E01002773,16.04,18.077,16.208,0.218,16.138,13.394,15.813,13.561,0.229,13.492,10.887,12.18,11.023,0.144,10.978,25.217,30.521,25.565,0.595,25.373,22.202,28.757,22.549,0.649,22.356,16.838,20.74,17.268,0.461,17.131,59.237,138.797,65.072,9.882,61.643,67.458,143.15,71.866,8.157,69.367,44.944,74.978,47.124,3.412,45.921,36.508,62.626,38.597,3.34,37.452,37.901,57.576,39.156,2.212,38.462,29.383,39.181,30.127,1.129,29.737
E01002774,16.191,20.516,16.586,0.593,16.392,13.561,18.202,13.904,0.595,13.725,11.03,15.364,11.29,0.543,11.14,25.266,36.03,26.251,1.512,25.783,22.307,34.981,23.249,1.607,22.807,17.056,29.453,17.847,1.564,17.428,58.716,281.306,78.425,27.033,69.383,67.156,232.044,80.649,21.21,74.665,45.547,154.675,52.178,12.975,48.588,36.386,97.659,42.979,8.391,40.269,37.983,76.587,41.651,5.289,40.106,29.738,61.164,31.842,3.938,30.717
E01002775,16.544,18.596,16.844,0.362,16.711,13.908,16.556,14.166,0.339,14.047,11.327,14.089,11.627,0.354,11.513,25.814,31.357,26.545,0.96,26.19,23.003,30.521,23.69,0.955,23.365,17.577,25.304,18.422,1.107,18.033,64.267,159.696,76.238,15.693,70.646,73.015,178.529,82.134,12.867,77.709,49.282,107.723,56.462,8.568,53.466,38.661,68.716,42.905,5.279,41.053,40.064,66.028,42.695,3.428,41.481,31.418,50.427,33.838,2.711,32.888
E01002776,16.545,20.847,16.921,0.607,16.697,13.93,18.38,14.296,0.601,14.082,11.354,15.749,11.766,0.618,11.556,25.867,37.903,26.884,1.701,26.226,23.075,36.326,24.156,1.784,23.526,17.658,32.346,19.046,2.122,18.261,65.125,323.308,88.656,35.946,74.506,73.744,280.055,89.692,27.233,79.953,49.597,180.184,59.137,14.842,53.882,38.985,111.447,46.537,10.783,42.331,40.298,84.242,44.514,6.508,42.142,31.558,64.765,34.612,4.371,33.013
E01002777,16.435,17.365,16.636,0.182,16.561,13.862,14.88,14.065,0.197,13.984,11.244,13.297,11.508,0.306,11.423,25.637,27.857,26.112,0.479,25.913,22.901,25.761,23.45,0.552,23.224,17.348,23.81,18.072,0.881,17.842,61.694,131.906,74.875,13.872,69.406,71.028,124.55,78.747,8.455,75.448,47.956,92.815,54.341,7.627,51.863,37.612,57.883,41.884,4.049,40.26,39.351,53.088,41.59,2.272,40.713,30.857,46.052,33.087,2.543,32.278
E01002778,16.424,18.968,16.692,0.373,16.579,13.873,16.184,14.144,0.351,14.037,11.266,14.467,11.546,0.391,11.436,25.613,32.666,26.289,1.044,25.978,22.932,29.764,23.709,1.041,23.4,17.405,29.104,18.286,1.364,17.885,61.478,223.893,77.676,23.016,70.679,70.822,182.423,81.53,15.934,76.55,48.442,115.125,54.33,8.516,51.688,37.523,85.903,43.006,6.993,40.783,39.286,66.145,42.364,3.975,41.051,31.03,50.909,33.049,2.703,32.202
E01002779,16.503,18.652,16.76,0.362,16.613,13.843,16.363,14.079,0.346,13.959,11.134,13.211,11.332,0.309,11.239,25.744,31.981,26.453,0.991,26.047,22.845,29.309,23.502,1.005,23.139,17.088,23.518,17.69,1.057,17.35,61.633,176.059,72.68,17.692,65.901,70.89,170.328,78.983,13.741,74.25,46.294,95.054,49.977,6.396,47.908,37.704,75.632,41.712,6.072,39.358,39.343,64.821,41.637,3.669,40.34,30.237,45.718,31.547,2.139,30.897
E01002780,16.498,18.509,16.684,0.304,16.583,13.858,15.918,14.041,0.312,13.943,11.207,13.643,11.424,0.283,11.346,25.732,31.275,26.207,0.83,25.935,22.851,29.109,23.374,0.915,23.08,17.249,25.261,17.854,0.865,17.635,61.827,164.439,72.062,16.413,66.234,71.07,151.863,78.523,12.954,74.173,47.196,98.893,51.913,6.279,49.961,37.772,71.928,41.312,5.457,39.378,39.403,60.622,41.5,3.41,40.38,30.616,47.741,32.32,2.195,31.644
E01002781,16.512,18.191,16.815,0.399,16.648,13.83,15.86,14.129,0.411,13.971,11.149,12.333,11.292,0.143,11.267,25.71,30.373,26.573,1.103,26.118,22.782,28.669,23.657,1.194,23.204,17.129,20.308,17.54,0.427,17.458,60.387,112.098,70.556,12.406,65.452,70.197,126.928,79.045,11.746,74.645,46.365,71.242,49.41,3.325,48.584,37.284,56.074,41.122,4.553,39.252,39.17,54.486,41.7,3.232,40.504,30.273,39.063,31.38,1.144,31.147
E01002782,16.387,18.366,16.596,0.318,16.476,13.815,15.88,14.011,0.32,13.892,11.205,13.486,11.461,0.416,11.301,25.511,30.706,26.092,0.908,25.732,22.746,28.29,23.349,0.966,22.985,17.244,24.535,18.109,1.428,17.532,59.299,150.405,70.672,18.185,62.609,69.06,148.346,78.0,14.907,71.874,47.188,97.475,52.612,8.982,49.095,36.717,68.524,40.699,6.094,38.038,38.742,59.929,41.286,4.007,39.629,30.565,46.704,32.415,2.945,31.257
E01002783,16.359,19.564,16.686,0.486,16.548,13.767,17.239,14.054,0.449,13.94,11.21,15.171,11.576,0.554,11.42,25.505,33.729,26.296,1.248,25.942,22.72,32.297,23.456,1.209,23.146,17.415,30.366,18.596,1.837,18.099,59.594,183.016,70.983,18.424,65.694,69.7,179.449,77.918,13.793,74.244,48.404,131.964,56.176,11.68,52.79,37.013,80.665,41.401,6.725,39.454,39.04,67.711,41.533,3.806,40.502,31.129,56.435,33.722,3.647,32.644
E01002784,16.272,18.118,16.437,0.25,16.362,13.678,16.111,13.863,0.295,13.778,11.112,12.757,11.272,0.216,11.209,25.33,29.804,25.715,0.604,25.525,22.504,28.56,22.918,0.725,22.714,17.137,22.805,17.613,0.743,17.394,57.527,122.743,62.953,8.698,60.293,67.608,131.462,72.396,7.97,70.097,46.524,83.299,49.894,4.738,48.51,36.118,59.349,38.235,3.191,37.252,38.311,56.876,39.83,2.375,39.141,30.388,41.677,31.559,1.493,31.111
E01002785,16.222,20.236,16.478,0.51,16.345,13.597,17.797,13.804,0.451,13.699,11.055,15.303,11.237,0.403,11.139,25.261,35.598,25.888,1.33,25.534,22.365,33.846,22.947,1.246,22.651,17.042,29.414,17.527,1.173,17.235,57.378,238.235,67.141,22.438,60.892,66.613,215.253,73.099,15.406,69.363,45.542,138.218,49.51,8.952,47.301,35.924,90.385,39.383,7.111,37.339,37.869,73.71,39.775,3.986,38.774,29.866,57.816,31.223,2.837,30.504
